id,province_id,name
2,1,BOCAS DEL TORO
1,1,CHANGUINOLA
3,1,CHIRIQUI GRANDE
17,2,AGUADULCE
18,2,ANTON
22,2,LA PINTADA
20,2,NATA
21,2,OLA
19,2,PENONOME
24,3,COLON
23,3,CHAGRES
26,3,DONOSO
25,3,PORTOBELO
27,3,SANTA ISABEL
4,4,ALANJE
7,4,BARU
8,4,BOQUERON
5,4,BOQUETE
6,4,BUGABA
10,4,DAVID
13,4,DOLEGA
15,4,GUALACA
14,4,REMEDIOS
40,5,CHEPIGANA
41,5,PINOGANA
46,6,CHITRE
45,6,LAS MINAS
43,6,LOS POZOS
44,6,OCU
42,6,PARITA
48,6,PESE
47,6,SANTA MARIA
54,7,GUARARE
52,7,LAS TABLAS
49,7,LOS SANTOS
51,7,MACARACAS
55,7,PEDASI
53,7,POCRI
50,7,TONOSI
60,8,BALBOA
59,8,CHEPO
58,8,CHIMAN
57,8,PANAMA
70,9,ATALAYA
72,9,CALOBRE
76,9,CAÑAZAS
73,9,LA MEZA
67,9,LAS PALMAS
68,9,MONTIJO
77,9,RIO DE JESUS
78,9,SAN FRANCISCO
74,9,SANTA FE
30,10,COMARCA KUNA YALA
28,11,WOUNAAN
29,11,WOUNAAN
36,12,BUGLÉ
38,12,BUGLÉ
33,12,BUGLÉ
39,12,BUGLÉ
31,12,BUGLÉ
35,12,BUGLÉ
34,12,BUGLÉ
37,12,BUGLÉ
32,12,BUGLÉ
63,13,ARRAIJAN
65,13,CAPIRA
64,13,CHAME
62,13,LA CHORRERA
66,13,SAN CARLOS
12,4,RENACIMIENTO
16,4,SAN FELIX
11,4,SAN LORENZO
9,4,TOLE
56,8,SAN MIGUELITO
61,8,TABOGA
75,9,SANTIAGO
71,9,SONA
69,9,MARIATO
