id,expense_category_id,currency_id,amount,tax_id,tax2_id,reference_no,note,name,partner_id,project_id,billable,invoice_id,payment_method_id,date,recurring_type,repeat_id,recurring,cycles,total_cycles,custom_recurring,last_recurring_date,create_invoice_billable,send_invoice_to_customer,recurring_from,date_added,added_from
1,2,1,13.0,,,192516,Autenticacion de Poder,Gastos Notariales,3,2,1,,9,2019-07-29,,,0,0,0,0,,0,0,0,2019-08-05 19:14:25,3
7,7,1,25.0,,,,Pago por Actualización de finca en ANATI,Pagos a Terceros,9,6,1,,,2019-08-06,,,0,0,0,0,,0,0,0,2019-08-08 11:24:09,5
8,3,1,6.0,,,,Servicio de mensajería por ingreso de formulario de corrección en Registro Público. ,INGRESO DE FORMULARIO DE CORRECCIÓN ,12,11,1,16,,2019-08-05,,,0,0,0,0,,0,0,0,2019-08-08 11:27:21,5
10,4,1,60.0,,,,Inscripción de Escritura Pública No. 143 del 18 de julio de 2019,Registro Público,2,10,1,14,,2019-07-18,,,0,0,0,0,,0,0,0,2019-08-09 10:54:32,4
11,4,1,300.0,,,,"Pago de primera tasa única Mirador Times Square, S.A.",Tasa Única,2,10,1,14,,2019-07-18,,,0,0,0,0,,0,0,0,2019-08-09 10:55:52,4
12,1,1,90.0,,,,Gastos notariales por cierre de escritura 10243 del 18 de julio de 2019,Notaria,2,10,1,14,,2019-07-18,,,0,0,0,0,,0,0,0,2019-08-09 10:58:10,4
13,2,1,4.0,,,,AUTENTICACIÓN DE PODER ,GASTOS NOTARIALES ,6,,1,207,,2019-07-24,,,0,0,0,0,,0,0,0,2019-08-15 11:41:23,5
14,5,1,50.0,,,,,Gastos Bancarios ,8,18,1,,,2019-07-25,,,0,0,0,0,,0,0,0,2019-08-15 11:52:19,5
15,1,1,65.0,,,,,GASTOS NOTARIALES,8,16,1,,,2019-08-01,,,0,0,0,0,,0,0,0,2019-08-15 12:00:37,5
16,1,1,65.0,,,,,GASTOS NOTARIALES,8,18,1,,,2019-08-01,,,0,0,0,0,,0,0,0,2019-08-15 12:01:16,5
17,1,1,65.0,,,,,GASTOS NOTARIALES,8,9,1,,,2019-08-01,,,0,0,0,0,,0,0,0,2019-08-15 12:01:58,5
18,4,1,60.0,,,,INSCRIPCIÓN DE ESCRITURA PÚBLICA NO. 11015 / FUNDACIÓN CHAMPEY ,DERECHOS DE REGISTRO ,8,18,1,,,2019-08-02,,,0,0,0,0,,0,0,0,2019-08-15 12:05:57,5
19,6,1,350.0,,,,PAGO DE PRIMERA TASA ÚNICA DE FUNDACIÓN CHAMPEY ,PAGO DE PRIMERA TASA ÚNICA ,8,18,0,,,2019-08-02,,,0,0,0,0,,0,0,0,2019-08-15 12:07:11,5
20,4,1,60.0,,,,"INSCRIPCIÓN DE E.P. 11016 HILOS Y TEJIDOS EL CANAL, S.A. ",DERECHOS DE REGISTRO,8,16,1,,,2019-08-02,,,0,0,0,0,,0,0,0,2019-08-15 12:08:14,5
21,6,1,300.0,,,,"PAGO DE TASA ÚNICA INICIAL HILOS Y TEJIDOS EL CANAL, S.A. ",PAGO DE PRIMERA TASA ÚNICA,8,16,1,,,2019-08-02,,,0,0,0,0,,0,0,0,2019-08-15 12:09:06,5
22,4,1,60.0,,,,INSCRIPCIÓN DE E.P. 11014,DERECHOS DE REGISTRO,8,9,1,,,2019-08-02,,,0,0,0,0,,0,0,0,2019-08-15 12:10:13,5
23,6,1,300.0,,,,"PAGO DE PRIMERA TASA ÚNICA INDUSTRIAS LA OVEJA, S.A. ",PAGO DE PRIMERA TASA ÚNICA,8,9,1,,,2019-08-02,,,0,0,0,0,,0,0,0,2019-08-15 12:11:03,5
24,3,1,20.0,,,,,PAGOS A TERCEROS,8,16,1,,,2019-08-02,,,0,0,0,0,,0,0,0,2019-08-15 12:28:38,5
25,3,1,20.0,,,,,PAGOS A TERCEROS,8,16,1,,,2019-08-02,,,0,0,0,0,,0,0,0,2019-08-15 12:29:35,5
26,3,1,20.0,,,,,PAGOS A TERCEROS,8,18,1,,,2019-08-02,,,0,0,0,0,,0,0,0,2019-08-15 12:30:12,5
27,1,1,9.0,,,,,GASTOS NOTARIALES,6,,1,24,,2019-08-09,,,0,0,0,0,,0,0,0,2019-08-15 12:33:44,5
28,2,1,9.0,,,,,GASTOS NOTARIALES,6,,1,89,,2019-08-09,,,0,0,0,0,,0,0,0,2019-08-15 12:34:24,5
29,2,1,9.0,,,,,GASTOS NOTARIALES,6,5,1,90,,2019-08-09,,,0,0,0,0,,0,0,0,2019-08-15 12:35:02,5
30,4,1,85.0,,,,,Solicitud de Escritura autenticada ante el  Registro Público,6,5,1,72,,2019-08-07,,,0,0,0,0,,0,0,0,2019-08-15 15:46:23,5
