id,description,long_description,rate,tax_id,tax2_id,unit,item_group_id
8,Honorarios Legales - Departamento Corporativo,Honorarios Legales en concepto de Agente Residente de _____________. ,250.0,1,,,14
9,Servicio de Directores,Honorarios Legales por servicio anual de Directores,150.0,1,,,
10,Incorporación de Fundación de Interés Privado ,Honorarios Legales y gastos por incorporación en el registro público de Fundación de Interés Privado,1300.0,1,,,
19,Honorarios Legales por Certificado de Acciones,,50.0,1,,,
22,Honorarios Legales - Departamento de Propiedad Intelectual,Honorarios Legales por la solicitud de Registro una clase ante la Dirección General de Propiedad Industrial (DIGERPI),275.0,1,,,19
23,Honorarios Legales - Departamento de Propiedad Intelectual,Honorarios Legales por la solicitud de Renovación de marca ante la Dirección General de la Propiedad Industrial.,220.0,1,,,19
29,Permiso de Trabajo,Honorarios profesionales por solicitud de permiso de trabajo para extranjero contratado por empresa en virtud del Acuerdo de Marrakech.,475.0,1,,,
37,Permiso de Trabajo,Honorarios profesionales por tramitación de permiso de trabajo,850.0,1,,,
48,Paz y Salvo,Honorarios Profesionales por tramitación de paz y salvo ante el Municipio,50.0,1,,,
61,"Proceso de Lanzamiento - BANCO DELTA, S.A.",HONORARIOS LEGALES POR ATENCIÓN DE PROCESO DE LANZAMIENTO POR INTRUSO O DESALOJO ,1375.0,1,,,
62,Plan Básico Veló Emprende ¡Empieza tu negocio!,"1. Constitución de Sociedad Anónima  
2. Inscripción ante la Dirección General de Ingresos  
3. Inscripción ante el Municipio de Panamá  
4. Solicitud de Aviso de Operaciones   
5. Certificado de Registro Público   
6. Reunión por 30 minutos con Veló Legal ",565.0,1,,,
63,Plan Premium Veló Emprende ¡Empieza tu negocio!,"1. Constitución de Sociedad Anónima  
2. Inscripción ante la Dirección General de Ingresos  
3. Inscripción ante el Municipio de Panamá  
4. Solicitud de Aviso de Operaciones   
5. Certificado de Registro Público   
6. Registro de Marca 
7. Modelo de Acuerdo de Socios 
8. Reunión por 30 minutos con Veló Legal ",965.0,,,,
64,Plan Básico E-Commerce Veló Emprende,"1. Constitución de Sociedad Anónima    
2. Inscripción ante la Dirección General de Ingresos    
3. Inscripción ante el Municipio de Panamá    
4. Solicitud de Aviso de Operaciones     
5. Certificado de Registro Público     
6. Modelo de Políticas de Privacidad    
7. Modelo de Términos y Condiciones de Uso Web   
8. Reunión por 30 minutos con Veló Legal ",1065.0,1,,,
65,Plan Premium E-Commerce Veló Emprende ,"1. Constitución de Sociedad Anónima   
2. Inscripción ante la Dirección General de Ingresos   
3. Inscripción ante el Municipio de Panamá   
4. Solicitud de Aviso de Operaciones    
5. Certificado de Registro Público    
6. Registro de Marca  
7. Modelo de Acuerdo de Socios  
8. Modelo de Políticas de Privacidad   
9. Modelo de Términos y Condiciones de Uso Web  
10. Reunión por 30 minutos con Veló Legal ",1415.0,1,,,
67,Gasto Transporte - Colón,Gasto en combustible a Colón,12.0,,,,
68,Gasto Transporte - Chorrera,Gasto en combustible a Chorrera,8.0,,,,
70,Gasto Transporte - Las Tablas,Gasto en combustible a Las Tablas,44.0,,,,
71,Gasto Transporte - Santiago,Gasto en combustible a Santiago,39.0,,,,
73,Gasto Transporte - David,Gasto en combustible a David,68.0,,,,
76,Pagos a Terceros,Pago ante la Dirección General de Ingresos de Panamá de Tasa Unica de sociedad anónima 2023 ,300.0,,,,
77,Pagos a Terceros,Pago ante la Dirección General de Ingresos de Panamá de Tasa Unica de fundación de interés privado 2023 ,400.0,,,,
78,Honorarios Legales - Departamento Corporativo,Honorarios por el servicio de Directores Nominales,150.0,1,,,14
79,Debida Diligencia,,100.0,,,,
80,Pagos a Terceros,Gastos a incurrir por la solicitud de Registro de Marca en una sola clase ante la Dirección General de Propiedad Industrial.,200.0,,,,
81,Pagos a Terceros,Gastos por las Solicitudes de Registros de la renovación de la marca ante la Dirección General de la Propiedad Industrial.,160.0,,,,
82,Honorarios Legales - Departamento de Propiedad Intelectual,Honorarios legales por la solicitud de Registro de Derecho de Autor,495.0,1,,,19
83,Honorarios Legales - Departamento de Propiedad Intelectual,Solicitud de copia de certificado de marca (resuelto),85.0,1,,,19
