id,district_id,name
6,1,ALMIRANTE
1,2,BASTIMENTOS
2,2,BOCAS DEL TORO (CABECERA)
3,2,CAUCHERO
7,1,CHANGUINOLA (CABECERA)
13,3,CHIRIQUI GRANDE (CABECERA)
8,1,EL EMPALME
9,1,GUABITO
10,1,LAS TABLAS
14,3,MIRAMAR
4,2,PUNTA LAUREL
15,3,PUNTA PEÑA
16,3,PUNTA ROBALO
17,3,RAMBALA
11,1,TERIBE
5,2,TIERRA OSCURA
12,1,VALLE DEL RISCO
101,4,ALANJE (CABECERA)
123,5,ALTO BOQUETE
129,6,ASERRIO DE GARICHE
110,7,BACO
115,8,BAGALA
124,5,BAJO BOQUETE (CABECERA)
590,9,BELLA VISTA
142,10,BIJAGUAL
585,11,BOCA CHICA
586,11,BOCA DEL MONTE
116,8,BOQUERON (CABECERA)
572,12,BREÑON
130,6,BUGABA
125,5,CALDERA
102,4,CANTA GALLO
573,12,CAÑAS GORDAS
131,6,CERRO PUNTA
591,9,CERRO VIEJO
143,10,CHIRIQUI
144,10,COCHEA
117,8,CORDILLERA
145,10,DAVID (CABECERA)
103,4,DIVALA
152,13,DOLEGA (CABECERA)
574,12,DOMINICAL
153,13,DOS RIOS
132,6,EL BONGO
592,9,EL CRISTO
165,14,EL NANCITO
166,14,EL PORVENIR
167,14,EL PUERTO
104,4,EL TEJAR
133,6,GOMEZ
118,8,GUABAL
146,10,GUACA
160,15,GUALACA (CABECERA)
105,4,GUARUMAL
119,8,GUAYABAL
587,11,HORCONCITOS (CABECERA)
161,15,HORNITO
126,5,JARAMILLO
580,16,JUAY
593,9,JUSTO FIDEL PALACIOS
134,6,LA CONCEPCION (CABECERA)
135,6,LA ESTRELLA
581,16,LAJAS ADENTRO
594,9,LAJAS DE TOLE
582,16,LAS LAJAS (CABECERA)
147,10,LAS LOMAS
111,7,LIMONES
154,13,LOS ALGARRROBOS
155,13,LOS ANASTACIOS
162,15,LOS ANGELES
127,5,LOS NARANJOS
575,12,MONTE LIRIO
106,4,NUEVO MEXICO
163,15,PAJA DE SOMBRERO
128,5,PALMIRA
107,4,PALO GRANDE
120,8,PARAISO
121,8,PEDREGAL
148,10,PEDREGAL
576,12,PLAZA CAISAN
156,13,POTRERILLOS
157,13,POTRERILLOS ABAJO
595,9,POTRERO DE CAÑA
112,7,PROGRESO
113,7,PUERTO ARMUELLES (CABECERA)
596,9,QUEBRADA DE PIEDRA
108,4,QUEREVALO
168,14,REMEDIOS (CABECERA)
164,15,RINCON
577,12,RIO SERENO (CABECERA)
114,7,RODOLFO AGUILAR DELGADO
158,13,ROVIRA
136,6,SAN ANDRES
149,10,SAN CARLOS
583,16,SAN FELIX
588,11,SAN JUAN
589,11,SAN LORENZO
150,10,SAN PABLO NUEVO
151,10,SAN PABLO VIEJO
578,12,SANTA CLARA
579,12,SANTA CRUZ
584,16,SANTA CRUZ
169,14,SANTA LUCIA
137,6,SANTA MARTA
138,6,SANTA ROSA
139,6,SANTO DOMINGO
109,4,SANTO TOMAS
140,6,SORTOVA
122,8,TIJERAS
159,13,TINAJAS
597,9,TOLE (CABECERA)
598,9,VELADERO
141,6,VOLCAN
18,17,AGUADULCE (CABECERA)
23,18,ANTON (CABECERA)
19,17,BARRIOS UNIDOS
24,18,CABALLERO
25,18,CABUYA
50,19,CAÑAVERAL
39,20,CAPELLANIA
51,19,CHIGUIRI ARRIBA
52,19,COCLE
40,20,EL CAÑO
26,18,EL CHIRU
53,19,EL COCO
45,21,EL COPE
20,17,EL CRISTO
33,22,EL HARINO
46,21,EL PALMAR
47,21,EL PICACHO
34,22,EL POTRERO
27,18,EL RETIRO
21,17,EL ROBLE
28,18,EL VALLE
41,20,GUZMAN
29,18,JUAN DIAZ
48,21,LA PAVA
35,22,LA PINTADA (CABECERA)
42,20,LAS HUACAS
36,22,LAS LOMAS
37,22,LLANO GRANDE
43,20,NATA (CABECERA)
49,21,OLA (CABECERA)
54,19,PAJONAL
55,19,PENONOME (CABECERA)
38,22,PIEDRAS GORDAS
22,17,POCRI
56,19,RIO GRANDE
30,18,RIO HATO
57,19,RIO INDIO
31,18,SAN JUAN DE DIOS
32,18,SANTA RITA
58,19,TOABRE
44,20,TOZA
59,19,TULU
75,23,ACHIOTE
60,24,BARRIO NORTE
61,24,BARRIO SUR
62,24,BUENA VISTA
88,25,CACIQUE
63,24,CATIVA
64,24,CIRICITO
82,26,COCLE DEL NORTE
65,24,CRISTOBAL
66,24,CRISTOBAL ESTE
93,27,CUANGO
76,23,EL GUABO
83,26,EL GUASIMO
67,24,ESCOBAL
89,25,GARROTE
84,26,GOBEA
90,25,ISLA GRANDE
77,23,LA ENCANTADA
68,24,LIMON
91,25,MARIA CHIQUITA
85,26,MIGUEL DE LA BORDA (CABECERA)
94,27,MIRAMAR
95,27,NOMBRE DE DIOS
69,24,NUEVA PROVIDENCIA
78,23,NUEVO CHAGRES (CABECERA)
96,27,PALENQUE (CABECERA)
79,23,PALMAS BELLAS
97,27,PALMIRA
80,23,PIÑA
98,27,PLAYA CHIQUITA
92,25,PORTOBELO (CABECERA)
70,24,PUERTO PILON
86,26,RIO INDIO
71,24,SABANITAS
72,24,SALAMANCA
81,23,SALUD
87,26,SAN JOSE DEL GENERAL
73,24,SAN JUAN
99,27,SANTA ISABEL
74,24,SANTA ROSA
100,27,VIENTO FRIO
440,28,CEMACO CIRILO GUAINORA (CABECERA)
443,29,SAMBU JINGURUDO
441,28,CEMACO LAJAS BLANCAS
442,28,CEMACO MANUEL ORTEGA
444,29,SAMBU RIO SABALO
436,30,AILIGANDI
437,30,NARGANA (CABECERA)
438,30,PUERTO OBALDIA
439,30,TUBUALA
478,31,NURUM AGUA DE SALUD
508,32,SANTA CATALINA O CALOVEBORA (BLEDESHIA)
461,33,MUNA ALTO CABALLERO
479,31,NURUM ALTO DE JESUS
496,34,KUSAPIN BAHIA AZUL
462,33,MUNA BAKAMA
487,35,KANKINTU BISIRA (CABECERA)
445,36,BESIKO BOCA DE BALSA
480,31,NURUM BUENOS AIRES (CABECERA)
488,35,KANKINTU BURI
503,37,JIRONDAI BURI
497,34,KUSAPIN CALOVEBORA O SANTA CATALINA
446,36,BESIKO CAMARON ARRIBA
453,38,MIRONO CASCABEL
447,36,BESIKO CERRO BANCO
463,33,MUNA CERRO CAÑA
448,36,BESIKO CERRO DE PATENA
473,39,NOLE DUIMA CERRO IGLESIAS (CABECERA)
481,31,NURUM CERRO PELADO
464,33,MUNA CERRO PUERCO
465,33,MUNA CHICHICA (CABECERA)
482,31,NURUM EL BALE
483,31,NURUM EL PAREDON
484,31,NURUM EL PIRO
449,36,BESIKO EMPLANADA DE CHORCHA
489,35,KANKINTU GUARIVIARA
504,37,JIRONDAI GUARIVIARA
485,31,NURUM GUAYABITO
486,31,NURUM GUIBALE
490,35,KANKINTU GUORONI
474,39,NOLE DUIMA HATO CHAMI
454,38,MIRONO HATO COROTU
455,38,MIRONO HATO CULANTRO
456,38,MIRONO HATO JOBO
457,38,MIRONO HATO JULI
458,38,MIRONO HATO PILON (CABECERA)
475,39,NOLE DUIMA JADEBERI
491,35,KANKINTU KANKINTU
466,33,MUNA KRUA
498,34,KUSAPIN KUSAPIN (CABECERA)
476,39,NOLE DUIMA LAJERO
499,34,KUSAPIN LOMA YUCA
509,32,SANTA CATALINA O CALOVEBORA (BLEDESHIA)
492,35,KANKINTU MAN CREEK
505,37,JIRONDAI MAN CREEK
467,33,MUNA MARACA
493,35,KANKINTU MUNUNI
450,36,BESIKO NAMNONI
451,36,BESIKO NIBA
468,33,MUNA NIBRA
469,33,MUNA PEÑA BLANCA
494,35,KANKINTU PIEDRA ROJA
459,38,MIRONO QUEBRADA DE LORO
500,34,KUSAPIN RIO CHIRIQUI
470,33,MUNA ROKA
460,38,MIRONO SALTO DUPI
506,37,JIRONDAI SAMBOA
510,32,SANTA CATALINA O CALOVEBORA (BLEDESHIA)
511,32,SANTA CATALINA O CALOVEBORA (BLEDESHIA)
471,33,MUNA SITIO PRADO
452,36,BESIKO SOLOY (CABECERA)
477,39,NOLE DUIMA SUSAMA
501,34,KUSAPIN TOBOBE
495,35,KANKINTU TUWAI
507,37,JIRONDAI TUWAI
472,33,MUNA UMANI
502,34,KUSAPIN VALLE BONITO
512,32,SANTA CATALINA O CALOVEBORA (BLEDESHIA)
170,40,AGUA FRIA
186,41,BOCA DE CUPE
171,40,CAMOGANTI
172,40,CHEPIGANA
187,41,COMARCA KUNA DE WARGANDI
173,40,CUCUNATI
188,41,EL REAL DE SANTA MARIA (CABECE
174,40,GARACHINE
175,40,JAQUE
176,40,LA PALMA (CABECERA)
189,41,METETI
190,41,PAYA
191,41,PINOGANA
