id,line_item_id,line_item_taxable_id,line_item_taxable_type,rate,name
1,217,48,invoice,7.00,I.T.B.M.S
2,218,38,estimate,7.00,I.T.B.M.S
3,220,49,invoice,7.00,I.T.B.M.S
4,154,31,estimate,7.00,I.T.B.M.S
6,223,50,invoice,7.00,I.T.B.M.S
7,228,40,estimate,7.00,I.T.B.M.S
8,215,37,estimate,7.00,I.T.B.M.S
9,230,51,invoice,7.00,I.T.B.M.S
10,232,41,estimate,7.00,I.T.B.M.S
11,233,41,estimate,7.00,I.T.B.M.S
12,237,52,invoice,7.00,I.T.B.M.S
13,238,52,invoice,7.00,I.T.B.M.S
15,252,43,estimate,7.00,I.T.B.M.S
16,253,54,invoice,7.00,I.T.B.M.S
17,258,55,invoice,7.00,I.T.B.M.S
18,261,56,invoice,7.00,I.T.B.M.S
19,263,57,invoice,7.00,I.T.B.M.S
23,281,45,estimate,7.00,I.T.B.M.S
24,282,59,invoice,7.00,I.T.B.M.S
26,293,47,estimate,7.00,I.T.B.M.S
29,300,50,estimate,7.00,I.T.B.M.S
30,303,50,estimate,7.00,I.T.B.M.S
31,306,50,estimate,7.00,I.T.B.M.S
32,307,51,estimate,7.00,I.T.B.M.S
33,317,42,estimate,7.00,I.T.B.M.S
34,320,60,invoice,7.00,I.T.B.M.S
35,326,61,invoice,7.00,I.T.B.M.S
41,344,62,invoice,7.00,I.T.B.M.S
42,345,63,invoice,7.00,I.T.B.M.S
45,349,52,estimate,7.00,I.T.B.M.S
46,350,52,estimate,7.00,I.T.B.M.S
47,352,53,estimate,7.00,I.T.B.M.S
48,358,54,estimate,7.00,I.T.B.M.S
49,364,55,estimate,7.00,I.T.B.M.S
50,369,56,estimate,7.00,I.T.B.M.S
52,383,67,invoice,7.00,I.T.B.M.S
53,388,68,invoice,7.00,I.T.B.M.S
55,391,57,estimate,7.00,I.T.B.M.S
56,392,58,estimate,7.00,I.T.B.M.S
57,398,69,invoice,7.00,I.T.B.M.S
60,431,59,estimate,7.00,I.T.B.M.S
61,432,81,invoice,7.00,I.T.B.M.S
62,433,60,estimate,7.00,I.T.B.M.S
63,439,61,estimate,7.00,I.T.B.M.S
64,440,62,estimate,7.00,I.T.B.M.S
65,446,82,invoice,7.00,I.T.B.M.S
66,453,83,invoice,7.00,I.T.B.M.S
68,461,85,invoice,7.00,I.T.B.M.S
69,467,86,invoice,7.00,I.T.B.M.S
70,468,87,invoice,7.00,I.T.B.M.S
73,518,63,estimate,7.00,I.T.B.M.S
74,519,64,estimate,7.00,I.T.B.M.S
75,521,65,estimate,7.00,I.T.B.M.S
76,532,66,estimate,7.00,I.T.B.M.S
77,533,103,invoice,7.00,I.T.B.M.S
82,535,67,estimate,7.00,I.T.B.M.S
84,539,68,estimate,7.00,I.T.B.M.S
85,61,10,estimate,7.00,I.T.B.M.S
86,62,10,estimate,7.00,I.T.B.M.S
87,63,10,estimate,7.00,I.T.B.M.S
88,64,10,estimate,7.00,I.T.B.M.S
89,541,10,estimate,7.00,I.T.B.M.S
