id,line_itemable_id,line_itemable_type,description,long_description,quantity,rate,unit,item_order,discount,type
1,1,invoice,"Constitución de Sociedad Anónima",,1.00,900.00,,1,0.00,NULL
3,2,invoice,"Recurso de impugnación en contra de
adjudicación de la licitacion publica numero
2019-1-10-0-08-lp-333392",,1.00,2500.00,,1,0.00,NULL
4,1,estimate,"Recurso de impugnacion en contra de adjudicacion de la licitacion publica numero 2019-1-10-0-08-lp-333392",,1.00,2500.00,,1,0.00,NULL
10,2,estimate,"honorarios por Constitución de Fundación de Interés Privado","Fundación Ralibar",1.00,800.00,,1,0.00,NULL
11,3,estimate,"PROCESO EJECUTIVO CIVIL CONTRA JOSE ELIAS MONTEMAYOR","ADELANTO DE HONORARIOS PACTADOS POR FIRMA DEL PODER<br />  ",1.00,619.52,,1,0.00,NULL
12,4,estimate,"PROCESO EJECUTIVO HIPOTERACIO CONTRA CORPORACION PDL, S.A.","ADELANTO DE HONORARIOS PACTADOS POR FIRMA DEL PODER<br />  ",1.00,1456.98,,1,0.00,NULL
13,3,invoice,"[Gasto] Mensajeria",,1.00,8.00,,1,0.00,NULL
16,4,invoice,"FUNDACION RALIBAR","Constitución de Fundación de Interés Privado ",1.00,1300.00,,1,0.00,NULL
17,5,invoice,"Cobro extrajudicial a la empresa LERVI COMERCIAL",,1.00,2500.00,,1,0.00,NULL
18,6,invoice,"Incorporación de Compañias","1. Incorporación de Sociedad Hilos y Tejidos El Canal, S.A.<br />  2. Incorporación de sociedad Industrias la Oveja, S.A. <br />  3. Incorporación de Fundación Champey",1.00,2980.00,,1,0.00,NULL
19,7,invoice,"Mirador Times Square, S.A.","Incorporación de Sociedad",1.00,900.00,,1,0.00,NULL
20,8,invoice,"Actualización de Finca No. 363295 en el Registro Público a la sociedad FJA Realty, S. de R.L.",,1.00,100.00,,1,0.00,NULL
21,9,invoice,"PROCESO EJECUTIVO HIPOTECARIO CONTRA CORPORACION PDL, S.A. y otros.","ADELANTO DE HONORARIOS PACTADOS POR FIRMA DEL PODER",1.00,1456.98,,1,0.00,NULL
22,10,invoice,"PROCESO EJECUTIVO CIVIL CONTRA JOSE ELIAS MONTEMAYOR","ADELANTO DE HONORARIOS PACTADOS POR FIRMA DEL PODER",1.00,619.52,,1,0.00,NULL
24,11,invoice,"PROCESO EJECUTIVO HIPOTECARIO CONTRA JUAN PABLO GUTIERREZ","ADELANTO DE HONORARIOS PACTADOS POR FIRMA DEL PODER",1.00,2211.02,,1,0.00,NULL
26,12,invoice,"Actualización de Inmueble","Actualización en ANATI, Pago de Impuestos, Paz y Salvo",1.00,250.00,,1,0.00,NULL
27,5,estimate,"Actualización ante el Registro Público","Adelanto de honorarios por confección y trámite de inscripción de acta de reunión de socios de la sociedad FJA REALTY, S. de R. L., por medio de la cual se aclara el nombre de propietario de la Finca inscrita al Folio Real No. 363295 con código de ubicación 8712, Propiedad Horizontal, de la Provincia de Panamá",1.00,350.00,,1,0.00,NULL
