"id","project_id","staff_id"
2,2,3
5,5,4
6,6,4
7,6,5
8,7,4
10,8,4
11,9,4
12,9,5
15,11,4
16,11,5
17,12,3
18,13,3
19,14,4
21,15,4
23,16,4
25,18,5
26,19,4
27,20,4
28,21,4
29,22,3
30,23,5
31,23,3
32,24,5
33,25,5
34,26,5
35,26,3
36,27,5
37,28,5
38,28,3
39,29,5
40,29,3
41,30,5
42,30,3
43,31,5
44,32,5
45,33,4
46,34,4
47,35,4
48,36,4
49,37,4
50,38,4
51,39,4
52,40,4
54,42,5
55,43,4
56,43,5
58,45,4
60,47,4
62,48,3
63,49,5
64,49,3
65,50,5
66,50,3
68,51,3
70,52,3
71,53,1
74,55,4
75,56,4
76,57,4
77,58,3
78,59,3
79,60,3
80,61,4
82,63,4
83,63,5
84,64,5
85,65,4
87,66,4
88,67,6
89,67,4
90,68,4
91,68,5
92,69,5
93,69,3
95,71,4
96,45,6
97,55,6
100,72,4
101,72,5
102,73,3
103,74,6
104,74,4
105,75,4
106,75,5
107,76,4
108,76,5
109,77,4
110,77,5
112,79,3
113,80,5
114,81,4
116,82,5
117,83,4
118,83,3
119,84,4
120,84,5
121,84,3
122,85,5
123,85,3
124,86,6
125,86,4
126,87,6
127,87,4
128,88,3
129,89,4
130,89,5
133,92,4
135,94,3
136,95,4
137,96,4
138,97,4
139,97,3
140,98,4
141,98,5
142,99,4
145,102,5
146,103,5
147,104,5
148,105,3
149,106,3
150,107,4
152,108,3
153,109,5
154,110,5
156,112,5
157,113,4
159,114,4
160,115,4
161,116,5
162,116,3
164,117,3
165,118,6
166,118,4
167,119,4
168,119,5
169,120,4
170,120,5
171,121,5
172,122,4
173,122,5
174,123,4
175,124,5
177,126,3
178,127,5
180,129,5
181,130,4
182,130,5
183,131,5
184,132,5
185,133,5
186,134,3
188,136,5
189,137,5
190,138,3
191,139,3
192,140,3
193,141,3
194,142,5
195,143,4
196,143,5
197,144,5
200,146,1
201,147,5
202,148,5
203,149,5
204,150,5
205,151,4
206,151,5
207,152,4
208,152,5
209,153,5
210,154,5
212,156,5
213,157,4
214,158,3
215,159,3
216,160,3
217,161,5
218,162,5
219,163,5
220,164,4
222,166,5
223,167,5
224,168,5
225,21,5
226,169,3
229,172,5
232,175,5
233,176,4
234,177,4
235,177,5
236,178,4
237,178,5
239,180,5
240,180,7
241,181,5
242,181,7
243,182,7
245,183,6
246,183,4
248,93,3
249,184,5
250,184,7
251,185,5
252,185,7
253,186,3
254,187,3
255,188,3
256,189,4
257,189,5
258,189,7
259,190,6
260,190,4
261,191,4
263,192,4
264,193,4
265,193,5
266,193,7
267,194,4
268,195,5
269,195,7
270,196,5
271,196,7
272,197,5
273,197,7
274,198,5
275,198,7
276,199,5
277,199,3
278,200,5
279,200,7
280,201,5
281,202,5
284,204,5
286,206,4
287,206,7
288,207,5
289,208,4
290,208,5
291,208,7
292,209,3
293,210,3
296,212,4
297,213,4
298,213,5
299,214,4
300,214,7
301,214,5
302,215,7
303,215,5
304,216,4
305,216,5
306,217,4
307,217,7
308,217,5
309,218,7
310,218,5
312,219,5
313,220,7
314,220,5
315,221,4
316,194,7
317,194,5
319,222,3
324,225,3
325,226,7
326,226,5
327,227,7
328,227,5
329,228,4
330,228,7
331,228,5
333,229,5
334,230,4
335,232,4
336,232,7
337,232,5
338,233,7
339,233,5
