taggable_id,taggable_type,tag_id,tag_order
22,project,1,1
11,estimate,2,1
11,estimate,3,2
14,task,4,1
48,project,5,1
48,project,6,2
15,lead,4,1
58,project,1,1
10,proposal,7,1
65,project,4,1
11,proposal,4,1
73,project,6,1
45,estimate,6,1
45,estimate,8,2
27,lead,9,1
28,lead,10,1
79,project,11,1
21,proposal,1,1
88,project,6,1
63,estimate,12,1
31,proposal,8,1
38,lead,13,1
93,project,14,1
209,project,15,1
211,project,7,1
222,project,16,1
243,project,4,1
244,project,4,1
245,project,15,1
237,project,1,1
260,project,4,1
265,project,9,1
266,project,9,1
267,project,4,1
269,project,4,1
270,project,4,1
271,project,8,1
109,lead,17,1
273,project,4,1
227,estimate,4,1
275,project,4,1
279,project,9,1
280,project,18,1
242,estimate,18,1
242,estimate,3,2
281,project,4,1
282,project,19,1
282,project,20,2
284,project,4,1
295,project,5,1
295,project,1,2
178,proposal,4,1
298,project,21,1
298,project,22,2
136,lead,4,1
300,project,9,1
301,project,9,1
302,project,17,1
326,project,15,1
153,lead,23,1
153,lead,24,2
243,proposal,26,1
243,proposal,27,2
195,lead,28,1
401,project,17,1
203,lead,29,1
236,lead,17,1
244,lead,24,1
514,project,4,1
378,proposal,8,1
310,lead,42,1
310,lead,43,2
310,lead,44,3
295,lead,37,1
295,lead,45,2
305,lead,4,1
305,lead,47,2
311,lead,4,1
311,lead,50,2
311,lead,51,3
312,lead,7,1
312,lead,54,2
348,lead,69,1
348,lead,70,2
348,lead,71,3
349,lead,69,1
349,lead,60,2
349,lead,72,3
350,lead,69,1
350,lead,60,2
350,lead,73,3
351,lead,69,1
351,lead,74,2
351,lead,75,3
352,lead,69,1
352,lead,74,2
352,lead,76,3
353,lead,69,1
353,lead,74,2
353,lead,77,3
354,lead,69,1
354,lead,74,2
354,lead,78,3
355,lead,69,1
355,lead,74,2
355,lead,54,3
356,lead,69,1
356,lead,74,2
356,lead,79,3
357,lead,69,1
357,lead,74,2
357,lead,76,3
358,lead,69,1
358,lead,70,2
358,lead,76,3
359,lead,69,1
359,lead,70,2
359,lead,80,3
360,lead,69,1
360,lead,74,2
360,lead,79,3
361,lead,39,1
361,lead,81,2
626,project,54,1
375,lead,4,1
375,lead,62,2
381,lead,39,1
381,lead,62,2
632,project,32,1
395,lead,84,1
395,lead,85,2
395,lead,86,3
421,lead,59,1
421,lead,87,2
421,lead,88,3
764,project,7,1
444,lead,92,1
445,lead,92,1
446,lead,92,1
447,lead,92,1
448,lead,92,1
449,lead,92,1
450,lead,92,1
451,lead,92,1
452,lead,92,1
453,lead,92,1
655,proposal,9,1
669,proposal,9,1
670,proposal,9,1
677,proposal,9,1
514,lead,9,1
905,project,100,1
906,project,100,1
907,project,100,1
908,project,100,1
910,project,100,1
911,project,100,1
912,project,100,1
914,project,100,1
915,project,100,1
916,project,100,1
918,project,100,1
919,project,100,1
921,project,100,1
922,project,100,1
923,project,100,1
924,project,100,1
925,project,100,1
927,project,100,1
928,project,100,1
929,project,100,1
930,project,100,1
931,project,100,1
932,project,100,1
933,project,100,1
934,project,100,1
935,project,100,1
936,project,100,1
938,project,100,1
939,project,100,1
941,project,100,1
944,project,100,1
945,project,100,1
947,project,100,1
948,project,100,1
949,project,100,1
953,project,100,1
954,project,100,1
955,project,100,1
956,project,100,1
957,project,100,1
958,project,100,1
959,project,100,1
960,project,100,1
963,project,100,1
964,project,100,1
978,project,78,1
544,lead,60,1
544,lead,62,2
987,project,18,1
553,lead,60,1
558,lead,30,1
558,lead,101,2
1018,project,100,1
1019,project,100,1
1020,project,100,1
1021,project,100,1
1022,project,100,1
1023,project,100,1
1024,project,100,1
1025,project,100,1
1026,project,100,1
1027,project,100,1
1028,project,100,1
1029,project,100,1
1030,project,100,1
1031,project,100,1
1032,project,100,1
1033,project,100,1
1034,project,100,1
1035,project,100,1
1036,project,100,1
1038,project,100,1
1039,project,100,1
